epoc_time,date_time,distance,velocity
1456267867452,2016-02-23T22:51:07.452Z,2.19513296682,0.24
1456267867900,2016-02-23T22:51:07.900Z,2.0148479696,0
1456267868156,2016-02-23T22:51:08.156Z,5.20400840738,0.23
1456267868441,2016-02-23T22:51:08.441Z,3.47535680809,0.24
1456267868935,2016-02-23T22:51:08.935Z,2.0148479696,0
1456267869154,2016-02-23T22:51:09.154Z,5.20400840738,0.24
1456267869468,2016-02-23T22:51:09.468Z,2.19513296682,0.23
1456267869917,2016-02-23T22:51:09.917Z,2.0148479696,0
1456267870155,2016-02-23T22:51:10.155Z,5.20400840738,0.24
1456267870434,2016-02-23T22:51:10.434Z,2.19513296682,0.25
1456267870899,2016-02-23T22:51:10.899Z,2.0148479696,0
1456267871146,2016-02-23T22:51:11.146Z,5.20400840738,0.24
1456267871464,2016-02-23T22:51:11.464Z,2.19513296682,0.23
1456267871931,2016-02-23T22:51:11.931Z,1.6399269622,0.23
1456267872149,2016-02-23T22:51:12.149Z,5.52004961992,0.24
1456267872449,2016-02-23T22:51:12.449Z,2.19513296682,0.24
1456267872929,2016-02-23T22:51:12.929Z,1.6399269622,0.24
1456267873129,2016-02-23T22:51:13.129Z,5.20400840738,0.24
1456267873441,2016-02-23T22:51:13.441Z,2.19513296682,0.24
1456267873905,2016-02-23T22:51:13.905Z,1.6399269622,0.23
1456267874125,2016-02-23T22:51:14.125Z,5.52004961992,0.24
1456267874431,2016-02-23T22:51:14.431Z,2.19513296682,0.07
1456267874931,2016-02-23T22:51:14.931Z,1.6399269622,0
1456267875156,2016-02-23T22:51:15.156Z,5.11851116272,0.23
1456267875452,2016-02-23T22:51:15.452Z,2.6848375825,0.24
1456267875895,2016-02-23T22:51:15.895Z,1.89185214637,0.25
1456267876140,2016-02-23T22:51:16.140Z,5.11851116272,0.24
1456267876456,2016-02-23T22:51:16.456Z,2.19513296682,0.24
1456267876923,2016-02-23T22:51:16.923Z,1.89185214637,0.23
1456267877118,2016-02-23T22:51:17.118Z,5.11851116272,0.25
1456267877434,2016-02-23T22:51:17.434Z,2.19513296682,0
1456267877925,2016-02-23T22:51:17.925Z,1.89185214637,0.02
1456267878155,2016-02-23T22:51:18.155Z,5.11851116272,0.23
1456267878464,2016-02-23T22:51:18.464Z,2.6848375825,0.23
1456267878924,2016-02-23T22:51:18.924Z,1.89185214637,0
